d.cod_familiar_fam;d.fx_rfpc;nom_pessoa;num_nis_pessoa_atual;dta_nasc_pessoa;cod_parentesco_rf_pessoa;nom_completo_mae_pessoa
10004845;1;FAMILIA 4845;10000004845;01/01/1985;1;MÃE 4845
10004846;2;FAMILIA 4846;10000004846;01/01/1985;1;MÃE 4846
10004847;3;FAMILIA 4847;10000004847;01/01/1985;1;MÃE 4847
10004848;1;FAMILIA 4848;10000004848;01/01/1985;1;MÃE 4848
10004849;2;FAMILIA 4849;10000004849;01/01/1985;1;MÃE 4849
10004850;3;FAMILIA 4850;10000004850;01/01/1985;1;MÃE 4850
10004851;1;FAMILIA 4851;10000004851;01/01/1985;1;MÃE 4851
10004852;2;FAMILIA 4852;10000004852;01/01/1985;1;MÃE 4852
10004853;3;FAMILIA 4853;10000004853;01/01/1985;1;MÃE 4853
10004854;1;FAMILIA 4854;10000004854;01/01/1985;1;MÃE 4854
10004855;2;FAMILIA 4855;10000004855;01/01/1985;1;MÃE 4855
10004856;3;FAMILIA 4856;10000004856;01/01/1985;1;MÃE 4856
10004857;1;FAMILIA 4857;10000004857;01/01/1985;1;MÃE 4857
10004858;2;FAMILIA 4858;10000004858;01/01/1985;1;MÃE 4858
10004859;3;FAMILIA 4859;10000004859;01/01/1985;1;MÃE 4859
10004860;1;FAMILIA 4860;10000004860;01/01/1985;1;MÃE 4860
10004861;2;FAMILIA 4861;10000004861;01/01/1985;1;MÃE 4861
10004862;3;FAMILIA 4862;10000004862;01/01/1985;1;MÃE 4862
10004863;1;FAMILIA 4863;10000004863;01/01/1985;1;MÃE 4863
10004864;2;FAMILIA 4864;10000004864;01/01/1985;1;MÃE 4864
10004865;3;FAMILIA 4865;10000004865;01/01/1985;1;MÃE 4865
10004866;1;FAMILIA 4866;10000004866;01/01/1985;1;MÃE 4866
10004867;2;FAMILIA 4867;10000004867;01/01/1985;1;MÃE 4867
10004868;3;FAMILIA 4868;10000004868;01/01/1985;1;MÃE 4868
10004869;1;FAMILIA 4869;10000004869;01/01/1985;1;MÃE 4869
10004870;2;FAMILIA 4870;10000004870;01/01/1985;1;MÃE 4870
10004871;3;FAMILIA 4871;10000004871;01/01/1985;1;MÃE 4871
10004872;1;FAMILIA 4872;10000004872;01/01/1985;1;MÃE 4872
10004873;2;FAMILIA 4873;10000004873;01/01/1985;1;MÃE 4873
10004874;3;FAMILIA 4874;10000004874;01/01/1985;1;MÃE 4874
10004875;1;FAMILIA 4875;10000004875;01/01/1985;1;MÃE 4875
10004876;2;FAMILIA 4876;10000004876;01/01/1985;1;MÃE 4876
10004877;3;FAMILIA 4877;10000004877;01/01/1985;1;MÃE 4877
10004878;1;FAMILIA 4878;10000004878;01/01/1985;1;MÃE 4878
10004879;2;FAMILIA 4879;10000004879;01/01/1985;1;MÃE 4879
10004880;3;FAMILIA 4880;10000004880;01/01/1985;1;MÃE 4880
10004881;1;FAMILIA 4881;10000004881;01/01/1985;1;MÃE 4881
10004882;2;FAMILIA 4882;10000004882;01/01/1985;1;MÃE 4882
10004883;3;FAMILIA 4883;10000004883;01/01/1985;1;MÃE 4883
10004884;1;FAMILIA 4884;10000004884;01/01/1985;1;MÃE 4884
10004885;2;FAMILIA 4885;10000004885;01/01/1985;1;MÃE 4885
10004886;3;FAMILIA 4886;10000004886;01/01/1985;1;MÃE 4886
10004887;1;FAMILIA 4887;10000004887;01/01/1985;1;MÃE 4887
10004888;2;FAMILIA 4888;10000004888;01/01/1985;1;MÃE 4888
10004889;3;FAMILIA 4889;10000004889;01/01/1985;1;MÃE 4889
10004890;1;FAMILIA 4890;10000004890;01/01/1985;1;MÃE 4890
10004891;2;FAMILIA 4891;10000004891;01/01/1985;1;MÃE 4891
10004892;3;FAMILIA 4892;10000004892;01/01/1985;1;MÃE 4892
10004893;1;FAMILIA 4893;10000004893;01/01/1985;1;MÃE 4893
10004894;2;FAMILIA 4894;10000004894;01/01/1985;1;MÃE 4894
10004895;3;FAMILIA 4895;10000004895;01/01/1985;1;MÃE 4895
10004896;1;FAMILIA 4896;10000004896;01/01/1985;1;MÃE 4896
10004897;2;FAMILIA 4897;10000004897;01/01/1985;1;MÃE 4897
10004898;3;FAMILIA 4898;10000004898;01/01/1985;1;MÃE 4898
10004899;1;FAMILIA 4899;10000004899;01/01/1985;1;MÃE 4899
10004900;2;FAMILIA 4900;10000004900;01/01/1985;1;MÃE 4900
10004901;3;FAMILIA 4901;10000004901;01/01/1985;1;MÃE 4901
10004902;1;FAMILIA 4902;10000004902;01/01/1985;1;MÃE 4902
10004903;2;FAMILIA 4903;10000004903;01/01/1985;1;MÃE 4903
10004904;3;FAMILIA 4904;10000004904;01/01/1985;1;MÃE 4904
10004905;1;FAMILIA 4905;10000004905;01/01/1985;1;MÃE 4905
10004906;2;FAMILIA 4906;10000004906;01/01/1985;1;MÃE 4906
10004907;3;FAMILIA 4907;10000004907;01/01/1985;1;MÃE 4907
10004908;1;FAMILIA 4908;10000004908;01/01/1985;1;MÃE 4908
10004909;2;FAMILIA 4909;10000004909;01/01/1985;1;MÃE 4909
10004910;3;FAMILIA 4910;10000004910;01/01/1985;1;MÃE 4910
10004911;1;FAMILIA 4911;10000004911;01/01/1985;1;MÃE 4911
10004912;2;FAMILIA 4912;10000004912;01/01/1985;1;MÃE 4912
10004913;3;FAMILIA 4913;10000004913;01/01/1985;1;MÃE 4913
10004914;1;FAMILIA 4914;10000004914;01/01/1985;1;MÃE 4914
10004915;2;FAMILIA 4915;10000004915;01/01/1985;1;MÃE 4915
10004916;3;FAMILIA 4916;10000004916;01/01/1985;1;MÃE 4916
10004917;1;FAMILIA 4917;10000004917;01/01/1985;1;MÃE 4917
10004918;2;FAMILIA 4918;10000004918;01/01/1985;1;MÃE 4918
10004919;3;FAMILIA 4919;10000004919;01/01/1985;1;MÃE 4919
10004920;1;FAMILIA 4920;10000004920;01/01/1985;1;MÃE 4920
10004921;2;FAMILIA 4921;10000004921;01/01/1985;1;MÃE 4921
10004922;3;FAMILIA 4922;10000004922;01/01/1985;1;MÃE 4922
10004923;1;FAMILIA 4923;10000004923;01/01/1985;1;MÃE 4923
10004924;2;FAMILIA 4924;10000004924;01/01/1985;1;MÃE 4924
10004925;3;FAMILIA 4925;10000004925;01/01/1985;1;MÃE 4925
10004926;1;FAMILIA 4926;10000004926;01/01/1985;1;MÃE 4926
10004927;2;FAMILIA 4927;10000004927;01/01/1985;1;MÃE 4927
10004928;3;FAMILIA 4928;10000004928;01/01/1985;1;MÃE 4928
10004929;1;FAMILIA 4929;10000004929;01/01/1985;1;MÃE 4929
10004930;2;FAMILIA 4930;10000004930;01/01/1985;1;MÃE 4930
10004931;3;FAMILIA 4931;10000004931;01/01/1985;1;MÃE 4931
10004932;1;FAMILIA 4932;10000004932;01/01/1985;1;MÃE 4932
10004933;2;FAMILIA 4933;10000004933;01/01/1985;1;MÃE 4933
10004934;3;FAMILIA 4934;10000004934;01/01/1985;1;MÃE 4934
10004935;1;FAMILIA 4935;10000004935;01/01/1985;1;MÃE 4935
10004936;2;FAMILIA 4936;10000004936;01/01/1985;1;MÃE 4936
10004937;3;FAMILIA 4937;10000004937;01/01/1985;1;MÃE 4937
10004938;1;FAMILIA 4938;10000004938;01/01/1985;1;MÃE 4938
10004939;2;FAMILIA 4939;10000004939;01/01/1985;1;MÃE 4939
10004940;3;FAMILIA 4940;10000004940;01/01/1985;1;MÃE 4940
10004941;1;FAMILIA 4941;10000004941;01/01/1985;1;MÃE 4941
10004942;2;FAMILIA 4942;10000004942;01/01/1985;1;MÃE 4942
10004943;3;FAMILIA 4943;10000004943;01/01/1985;1;MÃE 4943
10004944;1;FAMILIA 4944;10000004944;01/01/1985;1;MÃE 4944
10004945;2;FAMILIA 4945;10000004945;01/01/1985;1;MÃE 4945
10004946;3;FAMILIA 4946;10000004946;01/01/1985;1;MÃE 4946
10004947;1;FAMILIA 4947;10000004947;01/01/1985;1;MÃE 4947
10004948;2;FAMILIA 4948;10000004948;01/01/1985;1;MÃE 4948
10004949;3;FAMILIA 4949;10000004949;01/01/1985;1;MÃE 4949
10004950;1;FAMILIA 4950;10000004950;01/01/1985;1;MÃE 4950
10004951;2;FAMILIA 4951;10000004951;01/01/1985;1;MÃE 4951
10004952;3;FAMILIA 4952;10000004952;01/01/1985;1;MÃE 4952
10004953;1;FAMILIA 4953;10000004953;01/01/1985;1;MÃE 4953
10004954;2;FAMILIA 4954;10000004954;01/01/1985;1;MÃE 4954
10004955;3;FAMILIA 4955;10000004955;01/01/1985;1;MÃE 4955
10004956;1;FAMILIA 4956;10000004956;01/01/1985;1;MÃE 4956
10004957;2;FAMILIA 4957;10000004957;01/01/1985;1;MÃE 4957
10004958;3;FAMILIA 4958;10000004958;01/01/1985;1;MÃE 4958
10004959;1;FAMILIA 4959;10000004959;01/01/1985;1;MÃE 4959
10004960;2;FAMILIA 4960;10000004960;01/01/1985;1;MÃE 4960
10004961;3;FAMILIA 4961;10000004961;01/01/1985;1;MÃE 4961
10004962;1;FAMILIA 4962;10000004962;01/01/1985;1;MÃE 4962
10004963;2;FAMILIA 4963;10000004963;01/01/1985;1;MÃE 4963
10004964;3;FAMILIA 4964;10000004964;01/01/1985;1;MÃE 4964
10004965;1;FAMILIA 4965;10000004965;01/01/1985;1;MÃE 4965
10004966;2;FAMILIA 4966;10000004966;01/01/1985;1;MÃE 4966
10004967;3;FAMILIA 4967;10000004967;01/01/1985;1;MÃE 4967
10004968;1;FAMILIA 4968;10000004968;01/01/1985;1;MÃE 4968
10004969;2;FAMILIA 4969;10000004969;01/01/1985;1;MÃE 4969
10004970;3;FAMILIA 4970;10000004970;01/01/1985;1;MÃE 4970
10004971;1;FAMILIA 4971;10000004971;01/01/1985;1;MÃE 4971
10004972;2;FAMILIA 4972;10000004972;01/01/1985;1;MÃE 4972
10004973;3;FAMILIA 4973;10000004973;01/01/1985;1;MÃE 4973
10004974;1;FAMILIA 4974;10000004974;01/01/1985;1;MÃE 4974
10004975;2;FAMILIA 4975;10000004975;01/01/1985;1;MÃE 4975
10004976;3;FAMILIA 4976;10000004976;01/01/1985;1;MÃE 4976
10004977;1;FAMILIA 4977;10000004977;01/01/1985;1;MÃE 4977
10004978;2;FAMILIA 4978;10000004978;01/01/1985;1;MÃE 4978
10004979;3;FAMILIA 4979;10000004979;01/01/1985;1;MÃE 4979
10004980;1;FAMILIA 4980;10000004980;01/01/1985;1;MÃE 4980
10004981;2;FAMILIA 4981;10000004981;01/01/1985;1;MÃE 4981
10004982;3;FAMILIA 4982;10000004982;01/01/1985;1;MÃE 4982
10004983;1;FAMILIA 4983;10000004983;01/01/1985;1;MÃE 4983
10004984;2;FAMILIA 4984;10000004984;01/01/1985;1;MÃE 4984
10004985;3;FAMILIA 4985;10000004985;01/01/1985;1;MÃE 4985
10004986;1;FAMILIA 4986;10000004986;01/01/1985;1;MÃE 4986
10004987;2;FAMILIA 4987;10000004987;01/01/1985;1;MÃE 4987
10004988;3;FAMILIA 4988;10000004988;01/01/1985;1;MÃE 4988
10004989;1;FAMILIA 4989;10000004989;01/01/1985;1;MÃE 4989
10004990;2;FAMILIA 4990;10000004990;01/01/1985;1;MÃE 4990
10004991;3;FAMILIA 4991;10000004991;01/01/1985;1;MÃE 4991
10004992;1;FAMILIA 4992;10000004992;01/01/1985;1;MÃE 4992
10004993;2;FAMILIA 4993;10000004993;01/01/1985;1;MÃE 4993
10004994;3;FAMILIA 4994;10000004994;01/01/1985;1;MÃE 4994
10004995;1;FAMILIA 4995;10000004995;01/01/1985;1;MÃE 4995
10004996;2;FAMILIA 4996;10000004996;01/01/1985;1;MÃE 4996
10004997;3;FAMILIA 4997;10000004997;01/01/1985;1;MÃE 4997
10004998;1;FAMILIA 4998;10000004998;01/01/1985;1;MÃE 4998
10004999;2;FAMILIA 4999;10000004999;01/01/1985;1;MÃE 4999
10005000;3;FAMILIA 5000;10000005000;01/01/1985;1;MÃE 5000
10005001;1;FAMILIA 5001;10000005001;01/01/1985;1;MÃE 5001
10005002;2;FAMILIA 5002;10000005002;01/01/1985;1;MÃE 5002
10005003;3;FAMILIA 5003;10000005003;01/01/1985;1;MÃE 5003
10005004;1;FAMILIA 5004;10000005004;01/01/1985;1;MÃE 5004
10005005;2;FAMILIA 5005;10000005005;01/01/1985;1;MÃE 5005
10005006;3;FAMILIA 5006;10000005006;01/01/1985;1;MÃE 5006
10005007;1;FAMILIA 5007;10000005007;01/01/1985;1;MÃE 5007
10005008;2;FAMILIA 5008;10000005008;01/01/1985;1;MÃE 5008
10005009;3;FAMILIA 5009;10000005009;01/01/1985;1;MÃE 5009
10005010;1;FAMILIA 5010;10000005010;01/01/1985;1;MÃE 5010
10005011;2;FAMILIA 5011;10000005011;01/01/1985;1;MÃE 5011
10005012;3;FAMILIA 5012;10000005012;01/01/1985;1;MÃE 5012
10005013;1;FAMILIA 5013;10000005013;01/01/1985;1;MÃE 5013
10005014;2;FAMILIA 5014;10000005014;01/01/1985;1;MÃE 5014
10005015;3;FAMILIA 5015;10000005015;01/01/1985;1;MÃE 5015
10005016;1;FAMILIA 5016;10000005016;01/01/1985;1;MÃE 5016
10005017;2;FAMILIA 5017;10000005017;01/01/1985;1;MÃE 5017
10005018;3;FAMILIA 5018;10000005018;01/01/1985;1;MÃE 5018
10005019;1;FAMILIA 5019;10000005019;01/01/1985;1;MÃE 5019
10005020;2;FAMILIA 5020;10000005020;01/01/1985;1;MÃE 5020
10005021;3;FAMILIA 5021;10000005021;01/01/1985;1;MÃE 5021
10005022;1;FAMILIA 5022;10000005022;01/01/1985;1;MÃE 5022
10005023;2;FAMILIA 5023;10000005023;01/01/1985;1;MÃE 5023
10005024;3;FAMILIA 5024;10000005024;01/01/1985;1;MÃE 5024
10005025;1;FAMILIA 5025;10000005025;01/01/1985;1;MÃE 5025
10005026;2;FAMILIA 5026;10000005026;01/01/1985;1;MÃE 5026
10005027;3;FAMILIA 5027;10000005027;01/01/1985;1;MÃE 5027
10005028;1;FAMILIA 5028;10000005028;01/01/1985;1;MÃE 5028
10005029;2;FAMILIA 5029;10000005029;01/01/1985;1;MÃE 5029
10005030;3;FAMILIA 5030;10000005030;01/01/1985;1;MÃE 5030
10005031;1;FAMILIA 5031;10000005031;01/01/1985;1;MÃE 5031
10005032;2;FAMILIA 5032;10000005032;01/01/1985;1;MÃE 5032
10005033;3;FAMILIA 5033;10000005033;01/01/1985;1;MÃE 5033
10005034;1;FAMILIA 5034;10000005034;01/01/1985;1;MÃE 5034
10005035;2;FAMILIA 5035;10000005035;01/01/1985;1;MÃE 5035
10005036;3;FAMILIA 5036;10000005036;01/01/1985;1;MÃE 5036
10005037;1;FAMILIA 5037;10000005037;01/01/1985;1;MÃE 5037
10005038;2;FAMILIA 5038;10000005038;01/01/1985;1;MÃE 5038
10005039;3;FAMILIA 5039;10000005039;01/01/1985;1;MÃE 5039
10005040;1;FAMILIA 5040;10000005040;01/01/1985;1;MÃE 5040
10005041;2;FAMILIA 5041;10000005041;01/01/1985;1;MÃE 5041
10005042;3;FAMILIA 5042;10000005042;01/01/1985;1;MÃE 5042
10005043;1;FAMILIA 5043;10000005043;01/01/1985;1;MÃE 5043
10005044;2;FAMILIA 5044;10000005044;01/01/1985;1;MÃE 5044
10005045;3;FAMILIA 5045;10000005045;01/01/1985;1;MÃE 5045
10005046;1;FAMILIA 5046;10000005046;01/01/1985;1;MÃE 5046
10005047;2;FAMILIA 5047;10000005047;01/01/1985;1;MÃE 5047
10005048;3;FAMILIA 5048;10000005048;01/01/1985;1;MÃE 5048
10005049;1;FAMILIA 5049;10000005049;01/01/1985;1;MÃE 5049
10005050;2;FAMILIA 5050;10000005050;01/01/1985;1;MÃE 5050
10005051;3;FAMILIA 5051;10000005051;01/01/1985;1;MÃE 5051
10005052;1;FAMILIA 5052;10000005052;01/01/1985;1;MÃE 5052
10005053;2;FAMILIA 5053;10000005053;01/01/1985;1;MÃE 5053
10005054;3;FAMILIA 5054;10000005054;01/01/1985;1;MÃE 5054
10005055;1;FAMILIA 5055;10000005055;01/01/1985;1;MÃE 5055
10005056;2;FAMILIA 5056;10000005056;01/01/1985;1;MÃE 5056
10005057;3;FAMILIA 5057;10000005057;01/01/1985;1;MÃE 5057
10005058;1;FAMILIA 5058;10000005058;01/01/1985;1;MÃE 5058
10005059;2;FAMILIA 5059;10000005059;01/01/1985;1;MÃE 5059
10005060;3;FAMILIA 5060;10000005060;01/01/1985;1;MÃE 5060
10005061;1;FAMILIA 5061;10000005061;01/01/1985;1;MÃE 5061
10005062;2;FAMILIA 5062;10000005062;01/01/1985;1;MÃE 5062
10005063;3;FAMILIA 5063;10000005063;01/01/1985;1;MÃE 5063
10005064;1;FAMILIA 5064;10000005064;01/01/1985;1;MÃE 5064
10005065;2;FAMILIA 5065;10000005065;01/01/1985;1;MÃE 5065
10005066;3;FAMILIA 5066;10000005066;01/01/1985;1;MÃE 5066
10005067;1;FAMILIA 5067;10000005067;01/01/1985;1;MÃE 5067
10005068;2;FAMILIA 5068;10000005068;01/01/1985;1;MÃE 5068
10005069;3;FAMILIA 5069;10000005069;01/01/1985;1;MÃE 5069
10005070;1;FAMILIA 5070;10000005070;01/01/1985;1;MÃE 5070
10005071;2;FAMILIA 5071;10000005071;01/01/1985;1;MÃE 5071
10005072;3;FAMILIA 5072;10000005072;01/01/1985;1;MÃE 5072
10005073;1;FAMILIA 5073;10000005073;01/01/1985;1;MÃE 5073
10005074;2;FAMILIA 5074;10000005074;01/01/1985;1;MÃE 5074
10005075;3;FAMILIA 5075;10000005075;01/01/1985;1;MÃE 5075
10005076;1;FAMILIA 5076;10000005076;01/01/1985;1;MÃE 5076
10005077;2;FAMILIA 5077;10000005077;01/01/1985;1;MÃE 5077
10005078;3;FAMILIA 5078;10000005078;01/01/1985;1;MÃE 5078
10005079;1;FAMILIA 5079;10000005079;01/01/1985;1;MÃE 5079
10005080;2;FAMILIA 5080;10000005080;01/01/1985;1;MÃE 5080
10005081;3;FAMILIA 5081;10000005081;01/01/1985;1;MÃE 5081
10005082;1;FAMILIA 5082;10000005082;01/01/1985;1;MÃE 5082
10005083;2;FAMILIA 5083;10000005083;01/01/1985;1;MÃE 5083
10005084;3;FAMILIA 5084;10000005084;01/01/1985;1;MÃE 5084
10005085;1;FAMILIA 5085;10000005085;01/01/1985;1;MÃE 5085
10005086;2;FAMILIA 5086;10000005086;01/01/1985;1;MÃE 5086
10005087;3;FAMILIA 5087;10000005087;01/01/1985;1;MÃE 5087
10005088;1;FAMILIA 5088;10000005088;01/01/1985;1;MÃE 5088
10005089;2;FAMILIA 5089;10000005089;01/01/1985;1;MÃE 5089
10005090;3;FAMILIA 5090;10000005090;01/01/1985;1;MÃE 5090
10005091;1;FAMILIA 5091;10000005091;01/01/1985;1;MÃE 5091
10005092;2;FAMILIA 5092;10000005092;01/01/1985;1;MÃE 5092
10005093;3;FAMILIA 5093;10000005093;01/01/1985;1;MÃE 5093
10005094;1;FAMILIA 5094;10000005094;01/01/1985;1;MÃE 5094
10005095;2;FAMILIA 5095;10000005095;01/01/1985;1;MÃE 5095
10005096;3;FAMILIA 5096;10000005096;01/01/1985;1;MÃE 5096
10005097;1;FAMILIA 5097;10000005097;01/01/1985;1;MÃE 5097
10005098;2;FAMILIA 5098;10000005098;01/01/1985;1;MÃE 5098
10005099;3;FAMILIA 5099;10000005099;01/01/1985;1;MÃE 5099
10005100;1;FAMILIA 5100;10000005100;01/01/1985;1;MÃE 5100
10005101;2;FAMILIA 5101;10000005101;01/01/1985;1;MÃE 5101
10005102;3;FAMILIA 5102;10000005102;01/01/1985;1;MÃE 5102
10005103;1;FAMILIA 5103;10000005103;01/01/1985;1;MÃE 5103
10005104;2;FAMILIA 5104;10000005104;01/01/1985;1;MÃE 5104
10005105;3;FAMILIA 5105;10000005105;01/01/1985;1;MÃE 5105
10005106;1;FAMILIA 5106;10000005106;01/01/1985;1;MÃE 5106
10005107;2;FAMILIA 5107;10000005107;01/01/1985;1;MÃE 5107
10005108;3;FAMILIA 5108;10000005108;01/01/1985;1;MÃE 5108
10005109;1;FAMILIA 5109;10000005109;01/01/1985;1;MÃE 5109
10005110;2;FAMILIA 5110;10000005110;01/01/1985;1;MÃE 5110
10005111;3;FAMILIA 5111;10000005111;01/01/1985;1;MÃE 5111
10005112;1;FAMILIA 5112;10000005112;01/01/1985;1;MÃE 5112
10005113;2;FAMILIA 5113;10000005113;01/01/1985;1;MÃE 5113
10005114;3;FAMILIA 5114;10000005114;01/01/1985;1;MÃE 5114
10005115;1;FAMILIA 5115;10000005115;01/01/1985;1;MÃE 5115
10005116;2;FAMILIA 5116;10000005116;01/01/1985;1;MÃE 5116
10005117;3;FAMILIA 5117;10000005117;01/01/1985;1;MÃE 5117
10005118;1;FAMILIA 5118;10000005118;01/01/1985;1;MÃE 5118
10005119;2;FAMILIA 5119;10000005119;01/01/1985;1;MÃE 5119
10005120;3;FAMILIA 5120;10000005120;01/01/1985;1;MÃE 5120
10005121;1;FAMILIA 5121;10000005121;01/01/1985;1;MÃE 5121
10005122;2;FAMILIA 5122;10000005122;01/01/1985;1;MÃE 5122
10005123;3;FAMILIA 5123;10000005123;01/01/1985;1;MÃE 5123
10005124;1;FAMILIA 5124;10000005124;01/01/1985;1;MÃE 5124
10005125;2;FAMILIA 5125;10000005125;01/01/1985;1;MÃE 5125
10005126;3;FAMILIA 5126;10000005126;01/01/1985;1;MÃE 5126
10005127;1;FAMILIA 5127;10000005127;01/01/1985;1;MÃE 5127
10005128;2;FAMILIA 5128;10000005128;01/01/1985;1;MÃE 5128
10005129;3;FAMILIA 5129;10000005129;01/01/1985;1;MÃE 5129
10005130;1;FAMILIA 5130;10000005130;01/01/1985;1;MÃE 5130
10005131;2;FAMILIA 5131;10000005131;01/01/1985;1;MÃE 5131
10005132;3;FAMILIA 5132;10000005132;01/01/1985;1;MÃE 5132
10005133;1;FAMILIA 5133;10000005133;01/01/1985;1;MÃE 5133
10005134;2;FAMILIA 5134;10000005134;01/01/1985;1;MÃE 5134
10005135;3;FAMILIA 5135;10000005135;01/01/1985;1;MÃE 5135
10005136;1;FAMILIA 5136;10000005136;01/01/1985;1;MÃE 5136
10005137;2;FAMILIA 5137;10000005137;01/01/1985;1;MÃE 5137
10005138;3;FAMILIA 5138;10000005138;01/01/1985;1;MÃE 5138
10005139;1;FAMILIA 5139;10000005139;01/01/1985;1;MÃE 5139
10005140;2;FAMILIA 5140;10000005140;01/01/1985;1;MÃE 5140
10005141;3;FAMILIA 5141;10000005141;01/01/1985;1;MÃE 5141
10005142;1;FAMILIA 5142;10000005142;01/01/1985;1;MÃE 5142
10005143;2;FAMILIA 5143;10000005143;01/01/1985;1;MÃE 5143
10005144;3;FAMILIA 5144;10000005144;01/01/1985;1;MÃE 5144
10005145;1;FAMILIA 5145;10000005145;01/01/1985;1;MÃE 5145
10005146;2;FAMILIA 5146;10000005146;01/01/1985;1;MÃE 5146
10005147;3;FAMILIA 5147;10000005147;01/01/1985;1;MÃE 5147
10005148;1;FAMILIA 5148;10000005148;01/01/1985;1;MÃE 5148
10005149;2;FAMILIA 5149;10000005149;01/01/1985;1;MÃE 5149
10005150;3;FAMILIA 5150;10000005150;01/01/1985;1;MÃE 5150
10005151;1;FAMILIA 5151;10000005151;01/01/1985;1;MÃE 5151
10005152;2;FAMILIA 5152;10000005152;01/01/1985;1;MÃE 5152
10005153;3;FAMILIA 5153;10000005153;01/01/1985;1;MÃE 5153
10005154;1;FAMILIA 5154;10000005154;01/01/1985;1;MÃE 5154
10005155;2;FAMILIA 5155;10000005155;01/01/1985;1;MÃE 5155
10005156;3;FAMILIA 5156;10000005156;01/01/1985;1;MÃE 5156
10005157;1;FAMILIA 5157;10000005157;01/01/1985;1;MÃE 5157
10005158;2;FAMILIA 5158;10000005158;01/01/1985;1;MÃE 5158
10005159;3;FAMILIA 5159;10000005159;01/01/1985;1;MÃE 5159
10005160;1;FAMILIA 5160;10000005160;01/01/1985;1;MÃE 5160
10005161;2;FAMILIA 5161;10000005161;01/01/1985;1;MÃE 5161
10005162;3;FAMILIA 5162;10000005162;01/01/1985;1;MÃE 5162
10005163;1;FAMILIA 5163;10000005163;01/01/1985;1;MÃE 5163
10005164;2;FAMILIA 5164;10000005164;01/01/1985;1;MÃE 5164
10005165;3;FAMILIA 5165;10000005165;01/01/1985;1;MÃE 5165
10005166;1;FAMILIA 5166;10000005166;01/01/1985;1;MÃE 5166
10005167;2;FAMILIA 5167;10000005167;01/01/1985;1;MÃE 5167
10005168;3;FAMILIA 5168;10000005168;01/01/1985;1;MÃE 5168
10005169;1;FAMILIA 5169;10000005169;01/01/1985;1;MÃE 5169
10005170;2;FAMILIA 5170;10000005170;01/01/1985;1;MÃE 5170
10005171;3;FAMILIA 5171;10000005171;01/01/1985;1;MÃE 5171
10005172;1;FAMILIA 5172;10000005172;01/01/1985;1;MÃE 5172
10005173;2;FAMILIA 5173;10000005173;01/01/1985;1;MÃE 5173
10005174;3;FAMILIA 5174;10000005174;01/01/1985;1;MÃE 5174
10005175;1;FAMILIA 5175;10000005175;01/01/1985;1;MÃE 5175
10005176;2;FAMILIA 5176;10000005176;01/01/1985;1;MÃE 5176
10005177;3;FAMILIA 5177;10000005177;01/01/1985;1;MÃE 5177
10005178;1;FAMILIA 5178;10000005178;01/01/1985;1;MÃE 5178
10005179;2;FAMILIA 5179;10000005179;01/01/1985;1;MÃE 5179
10005180;3;FAMILIA 5180;10000005180;01/01/1985;1;MÃE 5180
10005181;1;FAMILIA 5181;10000005181;01/01/1985;1;MÃE 5181
10005182;2;FAMILIA 5182;10000005182;01/01/1985;1;MÃE 5182
10005183;3;FAMILIA 5183;10000005183;01/01/1985;1;MÃE 5183
10005184;1;FAMILIA 5184;10000005184;01/01/1985;1;MÃE 5184
10005185;2;FAMILIA 5185;10000005185;01/01/1985;1;MÃE 5185
10005186;3;FAMILIA 5186;10000005186;01/01/1985;1;MÃE 5186
10005187;1;FAMILIA 5187;10000005187;01/01/1985;1;MÃE 5187
10005188;2;FAMILIA 5188;10000005188;01/01/1985;1;MÃE 5188
10005189;3;FAMILIA 5189;10000005189;01/01/1985;1;MÃE 5189
10005190;1;FAMILIA 5190;10000005190;01/01/1985;1;MÃE 5190
10005191;2;FAMILIA 5191;10000005191;01/01/1985;1;MÃE 5191
10005192;3;FAMILIA 5192;10000005192;01/01/1985;1;MÃE 5192
10005193;1;FAMILIA 5193;10000005193;01/01/1985;1;MÃE 5193
10005194;2;FAMILIA 5194;10000005194;01/01/1985;1;MÃE 5194
10005195;3;FAMILIA 5195;10000005195;01/01/1985;1;MÃE 5195
10005196;1;FAMILIA 5196;10000005196;01/01/1985;1;MÃE 5196
10005197;2;FAMILIA 5197;10000005197;01/01/1985;1;MÃE 5197
10005198;3;FAMILIA 5198;10000005198;01/01/1985;1;MÃE 5198
10005199;1;FAMILIA 5199;10000005199;01/01/1985;1;MÃE 5199
10005200;2;FAMILIA 5200;10000005200;01/01/1985;1;MÃE 5200
10005201;3;FAMILIA 5201;10000005201;01/01/1985;1;MÃE 5201
10005202;1;FAMILIA 5202;10000005202;01/01/1985;1;MÃE 5202
10005203;2;FAMILIA 5203;10000005203;01/01/1985;1;MÃE 5203
10005204;3;FAMILIA 5204;10000005204;01/01/1985;1;MÃE 5204
10005205;1;FAMILIA 5205;10000005205;01/01/1985;1;MÃE 5205
10005206;2;FAMILIA 5206;10000005206;01/01/1985;1;MÃE 5206
10005207;3;FAMILIA 5207;10000005207;01/01/1985;1;MÃE 5207
10005208;1;FAMILIA 5208;10000005208;01/01/1985;1;MÃE 5208
10005209;2;FAMILIA 5209;10000005209;01/01/1985;1;MÃE 5209
10005210;3;FAMILIA 5210;10000005210;01/01/1985;1;MÃE 5210
